country,year,banking,currency,inflation,sovereign_debt,any_crisis,source
Poland,2016,0,1,0,0,1,Reinhart-Rogoff 2016 (HBS Global Crises Data)
Poland,2017,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Poland,2018,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Poland,2019,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Poland,2020,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Poland,2021,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Poland,2022,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Poland,2023,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Poland,2024,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Sri Lanka,2010,0,0,0,0,0,Reinhart-Rogoff 2016 (HBS Global Crises Data)
Sri Lanka,2011,0,0,0,0,0,Reinhart-Rogoff 2016 (HBS Global Crises Data)
Sri Lanka,2012,0,0,0,0,0,Reinhart-Rogoff 2016 (HBS Global Crises Data)
Sri Lanka,2013,0,0,0,0,0,Reinhart-Rogoff 2016 (HBS Global Crises Data)
Sri Lanka,2014,0,0,0,0,0,Reinhart-Rogoff 2016 (HBS Global Crises Data)
Sri Lanka,2015,0,0,0,0,0,Reinhart-Rogoff 2016 (HBS Global Crises Data)
Sri Lanka,2016,0,0,0,0,0,Reinhart-Rogoff 2016 (HBS Global Crises Data)
Sri Lanka,2017,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Sri Lanka,2018,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Sri Lanka,2019,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Sri Lanka,2020,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Sri Lanka,2021,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Sri Lanka,2022,0,1,1,1,1,Manual: post-2016 (IMF press releases + news)
